country,survey_name,survey_food_item_name,standard_original_food_id,standard_original_food_name,source
MWI,IHS5,CHIBUKU BEER,908,CHIBUKU (COMMERCIAL TRADITIONAL-STYLE BEER),mwi-ihs5-non_standard_food_list
MWI,IHS5,BOTTLED WATER,909,BOTTLED WATER,mwi-ihs5-standard_food_list
MWI,IHS5,MAHEU,910,MAHEU,mwi-ihs5-standard_food_list
MWI,IHS5,"BOTTLED / CANNED BEER (CARLSBERG, ETC)",911,"BOTTLED / CANNED BEER (CARLSBERG, ETC)",mwi-ihs5-standard_food_list
MWI,IHS5,THOBWA,912,THOBWA,mwi-ihs5-standard_food_list
MWI,IHS5,TRADITIONAL BEER (MASESE),913,TRADITIONAL BEER (MASESE),mwi-ihs5-standard_food_list
MWI,IHS5,WINE,914,WINE OR COMMERCIAL LIQUOR,mwi-ihs5-non_standard_food_list
MWI,IHS5,WINE OR COMMERCIAL LIQUOR,914,WINE OR COMMERCIAL LIQUOR,mwi-ihs5-standard_food_list
MWI,IHS5,LOCALLY BREWED LIQUOR (KACHASU ),915,LOCALLY BREWED LIQUOR (KACHASU ),mwi-ihs5-standard_food_list
MWI,IHS5,SUN DRIED FISH (LARGE VARIETY),5021,SUN DRIED FISH (LARGE VARIETY),mwi-ihs5-standard_food_list
MWI,IHS5,SUN DRIED FISH (MEDIUM VARIETY),5022,SUN DRIED FISH (MEDIUM VARIETY),mwi-ihs5-standard_food_list
MWI,IHS5,SUN DRIED FISH (SMALL VARIETY),5023,SUN DRIED FISH (SMALL VARIETY),mwi-ihs5-standard_food_list
MWI,IHS5,FRESH FISH (LARGE VARIETY),5031,FRESH FISH (LARGE VARIETY),mwi-ihs5-standard_food_list
MWI,IHS5,FRESH FISH (MEDIUM VARIETY),5032,FRESH FISH (MEDIUM VARIETY),mwi-ihs5-standard_food_list
MWI,IHS5,FRESH FISH (SMALL VARIETY),5033,FRESH FISH (SMALL VARIETY),mwi-ihs5-standard_food_list
MWI,IHS5,SMOKED FISH (LARGE VARIETY),5121,SMOKED FISH (LARGE VARIETY),mwi-ihs5-standard_food_list
MWI,IHS5,SMOKED FISH (MEDIUM VARIETY),5122,SMOKED FISH (MEDIUM VARIETY),mwi-ihs5-standard_food_list
MWI,IHS5,SMOKED FISH (SMALL VARIETY),5123,SMOKED FISH (SMALL VARIETY),mwi-ihs5-standard_food_list
MWI,IHS5,CARROT,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,CHAFUTSA,NA,,mwi-ihs5-non_standard_food_list
